"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","27,800.0","28,000.0","28,750.0","27,700.0","406.20K","-0.71%"
"03/30/2022","28,000.0","29,200.0","29,200.0","27,800.0","385.90K","-4.11%"
"03/29/2022","29,200.0","28,000.0","29,500.0","28,000.0","766.10K","3.00%"
"03/28/2022","28,350.0","28,600.0","29,050.0","27,500.0","470.40K","-3.41%"
"03/25/2022","29,350.0","27,850.0","29,700.0","27,850.0","567.90K","3.89%"
"03/24/2022","28,250.0","27,950.0","29,200.0","27,500.0","321.40K","0.89%"
"03/23/2022","28,000.0","28,500.0","28,950.0","28,000.0","490.10K","-1.75%"
"03/22/2022","28,500.0","28,850.0","29,300.0","28,200.0","469.90K","-1.21%"
"03/21/2022","28,850.0","28,500.0","29,600.0","27,900.0","399.80K","-0.17%"
"03/18/2022","28,900.0","29,200.0","30,200.0","28,900.0","415.40K","-0.69%"
"03/17/2022","29,100.0","27,250.0","29,100.0","27,200.0","644.20K","6.99%"
"03/16/2022","27,200.0","27,500.0","27,900.0","26,900.0","235.60K","0.74%"
"03/15/2022","27,000.0","28,350.0","28,350.0","26,950.0","386.00K","-2.70%"
"03/14/2022","27,750.0","26,950.0","29,000.0","26,950.0","537.70K","1.46%"
"03/11/2022","27,350.0","27,100.0","28,000.0","27,100.0","344.90K","-2.32%"
"03/10/2022","28,000.0","29,600.0","29,800.0","28,000.0","233.10K","-1.75%"
"03/09/2022","28,500.0","26,650.0","28,500.0","26,650.0","604.50K","6.94%"
"03/08/2022","26,650.0","26,850.0","28,350.0","26,650.0","1.30M","-6.98%"
"03/07/2022","28,650.0","30,050.0","30,700.0","28,650.0","740.90K","-6.98%"
"03/04/2022","30,800.0","31,300.0","31,700.0","30,000.0","751.10K","-0.65%"
"03/03/2022","31,000.0","29,100.0","31,000.0","28,550.0","628.90K","4.03%"
"03/02/2022","29,800.0","31,100.0","31,100.0","28,200.0","2.12M","2.41%"
"03/01/2022","29,100.0","28,000.0","29,100.0","28,000.0","533.90K","6.99%"
"02/28/2022","27,200.0","27,000.0","27,200.0","26,000.0","976.60K","6.88%"
"02/25/2022","25,450.0","24,200.0","25,450.0","23,950.0","877.10K","6.93%"
"02/24/2022","23,800.0","24,300.0","24,600.0","22,800.0","888.80K","-2.86%"
"02/23/2022","24,500.0","24,300.0","24,800.0","23,800.0","655.90K","2.08%"
"02/22/2022","24,000.0","22,300.0","24,000.0","22,000.0","845.20K","4.58%"
"02/21/2022","22,950.0","23,800.0","24,900.0","22,900.0","664.50K","-1.92%"
"02/18/2022","23,400.0","23,400.0","23,400.0","22,650.0","1.41M","6.85%"
"02/17/2022","21,900.0","21,900.0","21,900.0","21,500.0","572.10K","6.83%"
"02/16/2022","20,500.0","20,500.0","20,500.0","20,500.0","184.10K","6.77%"
"02/15/2022","19,200.0","18,600.0","19,200.0","18,600.0","74.50K","0.79%"
"02/14/2022","19,050.0","19,500.0","19,500.0","18,800.0","230.20K","-3.30%"
"02/11/2022","19,700.0","19,600.0","20,000.0","19,600.0","79.20K","0.51%"
"02/10/2022","19,600.0","20,250.0","20,300.0","19,500.0","127.10K","-1.51%"
"02/09/2022","19,900.0","19,400.0","20,100.0","19,400.0","227.50K","2.58%"
"02/08/2022","19,400.0","19,900.0","20,500.0","19,400.0","321.50K","-2.51%"
"02/07/2022","19,900.0","19,050.0","20,200.0","19,050.0","211.10K","5.01%"
"01/28/2022","18,950.0","18,750.0","19,550.0","18,700.0","362.70K","3.55%"
"01/27/2022","18,300.0","18,000.0","18,800.0","18,000.0","130.00K","1.67%"
"01/26/2022","18,000.0","17,750.0","18,000.0","17,550.0","155.80K","1.41%"
"01/25/2022","17,750.0","17,300.0","18,150.0","17,000.0","126.70K","0.28%"
"01/24/2022","17,700.0","18,900.0","18,900.0","17,700.0","279.40K","-6.84%"
"01/21/2022","19,000.0","20,200.0","20,200.0","18,800.0","259.70K","-2.06%"
"01/20/2022","19,400.0","18,000.0","19,450.0","17,000.0","465.40K","6.59%"
"01/19/2022","18,200.0","18,800.0","19,100.0","18,200.0","553.50K","-6.91%"
"01/18/2022","19,550.0","20,400.0","20,900.0","19,550.0","623.20K","-6.90%"
"01/17/2022","21,000.0","22,400.0","23,000.0","21,000.0","451.60K","-6.87%"
"01/14/2022","22,550.0","24,400.0","24,400.0","22,500.0","848.30K","-1.31%"
"01/13/2022","22,850.0","22,850.0","22,850.0","22,200.0","624.30K","6.78%"
"01/12/2022","21,400.0","20,100.0","21,800.0","19,500.0","672.10K","4.39%"
"01/11/2022","20,500.0","21,500.0","21,800.0","20,500.0","1.14M","-6.82%"
"01/10/2022","22,000.0","23,050.0","23,300.0","22,000.0","1.04M","-6.98%"
"01/07/2022","23,650.0","24,000.0","24,000.0","23,300.0","545.90K","-3.07%"
"01/06/2022","24,400.0","23,800.0","24,950.0","23,050.0","521.80K","2.09%"
"01/05/2022","23,900.0","25,150.0","25,150.0","23,800.0","693.30K","-6.27%"
"01/04/2022","25,500.0","25,500.0","26,000.0","24,800.0","506.60K","0.00%"
"12/31/2021","25,500.0","24,500.0","26,200.0","24,500.0","629.20K","4.08%"
"12/30/2021","24,500.0","22,200.0","24,500.0","22,050.0","1.13M","6.99%"
"12/29/2021","22,900.0","23,500.0","23,800.0","22,550.0","598.50K","-4.38%"
"12/28/2021","23,950.0","24,900.0","25,350.0","23,700.0","661.80K","1.05%"
"12/27/2021","23,700.0","21,500.0","23,700.0","21,300.0","971.40K","7.00%"
"12/24/2021","22,150.0","23,000.0","23,500.0","22,150.0","1.24M","-6.93%"
"12/23/2021","23,800.0","24,400.0","24,400.0","21,550.0","2.21M","4.16%"
